Edad,Diagnosticos Originales
71.0,1
88.0,1
90.0,1
95.0,1
96.0,1
97.0,1
99.0,1
103.0,2
105.0,2
106.0,1
108.0,2
109.0,2
111.0,2
112.0,2
113.0,1
114.0,2
115.0,1
116.0,1
117.0,1
118.0,1
120.0,3
121.0,0
122.0,1
123.0,1
124.0,1
125.0,5
126.0,3
127.0,1
128.0,1
129.0,1
130.0,3
131.0,2
132.0,6
133.0,1
134.0,1
136.0,2
137.0,0
138.0,1
139.0,1
140.0,4
141.0,3
142.0,4
143.0,3
144.0,5
145.0,3
146.0,3
147.0,3
148.0,0
149.0,0
150.0,5
151.0,0
152.0,2
153.0,1
154.0,2
155.0,2
156.0,3
157.0,1
158.0,3
159.0,1
160.0,4
161.0,3
162.0,3
163.0,2
164.0,1
165.0,2
166.0,1
167.0,0
168.0,2
169.0,2
170.0,1
171.0,1
172.0,0
173.0,2
174.0,2
175.0,0
177.0,1
178.0,0
179.0,0
180.0,0
181.0,1
182.0,1
184.0,0
185.0,0
186.0,0
187.0,0
188.0,0
190.0,0
192.0,0
194.0,0
195.0,1
202.0,0
