BPS,Diagnosticos Originales,Diagnostico Interpolado (Lineal),Diagnostico Interpolado (Cuadratica),Diagnostico Interpolado (Cubica)
71,1,1,1,1
72,0,1,1,1
73,0,1,1,1
74,0,1,1,1
75,0,1,1,1
76,0,1,1,1
77,0,1,1,1
78,0,1,1,1
79,0,1,1,1
80,0,1,1,1
81,0,1,1,1
82,0,1,1,1
83,0,1,1,1
84,0,1,1,1
85,0,1,1,1
86,0,1,1,1
87,0,1,1,1
88,1,1,0,0
89,0,1,0,0
90,1,1,1,1
91,0,1,1,1
92,0,1,1,1
93,0,1,1,1
94,0,1,1,1
95,1,1,0,0
96,1,1,1,1
97,1,1,0,0
98,0,1,0,0
99,1,1,1,1
100,0,1,1,1
101,0,1,1,1
102,0,1,1,1
103,2,2,2,2
104,0,2,2,2
105,2,1,1,1
106,1,1,0,0
107,0,1,1,1
108,2,2,2,2
109,2,2,1,1
110,0,2,1,1
111,2,2,2,2
112,2,1,1,1
113,1,1,1,1
114,2,1,1,1
115,1,1,0,0
116,1,1,1,1
117,1,1,0,0
118,1,1,1,1
119,0,2,3,3
120,3,1,1,1
121,0,0,0,0
122,1,1,1,1
123,1,1,0,0
124,1,2,2,2
125,5,4,4,4
126,3,2,1,1
127,1,1,0,0
128,1,1,0,0
129,1,1,1,2
130,3,2,2,2
131,2,3,4,4
132,6,3,4,4
133,1,1,0,0
134,1,1,1,1
135,0,1,2,2
136,2,1,0,0
138,0,0,0,0
139,1,1,0,0
140,1,2,2,2
141,4,3,3,3
142,3,3,3,3
143,4,3,3,3
144,3,4,4,4
145,5,3,3,4
146,3,3,2,2
147,3,3,3,3
148,3,1,1,1
149,0,0,0,0
150,0,2,3,3
151,5,1,1,2
152,0,1,1,0
153,2,1,1,1
154,1,1,1,1
155,2,2,1,1
156,2,2,2,2
157,3,1,1,1
158,1,2,2,2
159,3,1,1,1
160,1,3,3,3
161,4,3,3,3
162,3,3,3,2
163,3,2,2,2
164,2,1,1,1
165,1,1,1,1
166,2,1,1,1
167,1,0,0,0
168,0,1,1,1
169,2,2,2,2
170,2,1,1,1
171,1,1,1,1
172,1,0,0,0
173,0,1,1,1
174,2,2,2,2
175,2,0,0,0
176,0,0,0,0
177,0,0,1,1
178,1,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,1,1,1,1
183,1,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,1,0,1,2
197,0,0,2,4
198,0,0,2,5
199,0,0,2,6
200,0,0,1,5
201,0,0,1,4
202,0,0,0,0
